title                         , comment                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , sentiment, genre        , overall rating, ratings  , categories                                                                                                                           , confidence
Fruit Ninja®                  , nice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 1.0
Fruit Ninja®                  , addictive game                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 0.999
Fruit Ninja®                  , fun and casual                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 1.0
Fruit Ninja®                  , Idk but I just love this game so so muchhh                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 1.0
Fruit Ninja®                  , GOOD GAME!!!!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 1.0
Fruit Ninja®                  , very good                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 1.0
Subway Surfers                , This is very nice game 🎮🎮🎮                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 1.0
Subway Surfers                , this is a good game                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 1.0
Subway Surfers                , Avarage                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , NEGATIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 0.997
Subway Surfers                , l love this game                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 1.0
Subway Surfers                , VERY NICE ONE 👌 👍 👏 😀 ☺️ 😊 👌 👍 👏 😀 ☺️ 😊                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 0.999
Subway Surfers                , superb                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 1.0
Subway Surfers                , This is a very good game.love the updates and mystery one of my favourite game                                                                                                                                                                                                                                                                                                                                                                                                                                               , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 1.0
Subway Surfers                , "Download and keep urself busy, this game is awesome"                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 1.0
Subway Surfers                , need more updates and New models                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , NEGATIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 0.996
